Source,Year,ZARDIUganda,Livestock Subcategory,Low,High,Total
UBS,1990,Buginyanya,Mature Dairy Cow,2738,24842,27580
UBS,1991,Buginyanya,Mature Dairy Cow,2882,26150,29032
UBS,1992,Buginyanya,Mature Dairy Cow,3034,27526,30560
UBS,1993,Buginyanya,Mature Dairy Cow,3193,28975,32168
UBS,1994,Buginyanya,Mature Dairy Cow,3362,30500,33861
UBS,1995,Buginyanya,Mature Dairy Cow,3539,32105,35643
UBS,1996,Buginyanya,Mature Dairy Cow,3725,33795,37519
UBS,1997,Buginyanya,Mature Dairy Cow,3921,35573,39494
UBS,1998,Buginyanya,Mature Dairy Cow,4127,37446,41573
UBS,1999,Buginyanya,Mature Dairy Cow,4344,39416,43761
UBS,2000,Buginyanya,Mature Dairy Cow,4573,41491,46064
UBS,2001,Buginyanya,Mature Dairy Cow,4691,42555,47246
UBS,2002,Buginyanya,Mature Dairy Cow,4811,43646,48457
UBS,2003,Buginyanya,Mature Dairy Cow,4934,44765,49699
UBS,2004,Buginyanya,Mature Dairy Cow,5061,45913,50974
UBS,2005,Buginyanya,Mature Dairy Cow,5190,47090,52280
UBS,2006,Buginyanya,Mature Dairy Cow,5324,48297,53621
UBS,2007,Buginyanya,Mature Dairy Cow,5460,49536,54996
UBS,2008,Buginyanya,Mature Dairy Cow,5600,50806,56406
UBS,2009,Buginyanya,Mature Dairy Cow,5768,52331,58099
UBS,2010,Buginyanya,Mature Dairy Cow,5941,53903,59844
UBS,2011,Buginyanya,Mature Dairy Cow,6119,55519,61638
UBS,2012,Buginyanya,Mature Dairy Cow,6303,57185,63488
UBS,2013,Buginyanya,Mature Dairy Cow,6303,57185,63488
UBS,2014,Buginyanya,Mature Dairy Cow,6687,60667,67354
UBS,2015,Buginyanya,Mature Dairy Cow,6887,62484,69371
UBS,2016,Buginyanya,Mature Dairy Cow,7053,63985,71038
UBS,2017,Buginyanya,Mature Dairy Cow,6965,63188,70153
UBS,2018,Buginyanya,Mature Dairy Cow,6887,62484,69371
UBS,1990,Mukono,Mature Dairy Cow,7466,35329,42795
UBS,1991,Mukono,Mature Dairy Cow,7859,37188,45048
UBS,1992,Mukono,Mature Dairy Cow,8273,39146,47419
UBS,1993,Mukono,Mature Dairy Cow,8708,41206,49914
UBS,1994,Mukono,Mature Dairy Cow,9167,43375,52541
UBS,1995,Mukono,Mature Dairy Cow,9649,45658,55307
UBS,1996,Mukono,Mature Dairy Cow,10157,48061,58218
UBS,1997,Mukono,Mature Dairy Cow,10691,50590,61282
UBS,1998,Mukono,Mature Dairy Cow,11254,53253,64507
UBS,1999,Mukono,Mature Dairy Cow,11847,56056,67902
UBS,2000,Mukono,Mature Dairy Cow,12470,59006,71476
UBS,2001,Mukono,Mature Dairy Cow,12790,60519,73309
UBS,2002,Mukono,Mature Dairy Cow,13118,62070,75188
UBS,2003,Mukono,Mature Dairy Cow,13454,63662,77116
UBS,2004,Mukono,Mature Dairy Cow,13799,65294,79093
UBS,2005,Mukono,Mature Dairy Cow,14153,66968,81121
UBS,2006,Mukono,Mature Dairy Cow,14516,68686,83202
UBS,2007,Mukono,Mature Dairy Cow,14888,70447,85335
UBS,2008,Mukono,Mature Dairy Cow,15270,72253,87523
UBS,2009,Mukono,Mature Dairy Cow,15270,74421,89691
UBS,2010,Mukono,Mature Dairy Cow,15729,76656,92385
UBS,2011,Mukono,Mature Dairy Cow,16200,78955,95155
UBS,2012,Mukono,Mature Dairy Cow,16686,81324,98010
UBS,2013,Mukono,Mature Dairy Cow,16686,81324,98010
UBS,2014,Mukono,Mature Dairy Cow,17703,86277,103980
UBS,2015,Mukono,Mature Dairy Cow,18233,88860,107093
UBS,2016,Mukono,Mature Dairy Cow,18671,90995,109666
UBS,2017,Mukono,Mature Dairy Cow,18438,89861,108299
UBS,2018,Mukono,Mature Dairy Cow,18671,90995,109666
UBS,1990,Abi,Mature Dairy Cow,277,156,433
UBS,1991,Abi,Mature Dairy Cow,292,164,456
UBS,1992,Abi,Mature Dairy Cow,307,172,480
UBS,1993,Abi,Mature Dairy Cow,323,182,505
UBS,1994,Abi,Mature Dairy Cow,340,191,531
UBS,1995,Abi,Mature Dairy Cow,358,201,559
UBS,1996,Abi,Mature Dairy Cow,377,212,589
UBS,1997,Abi,Mature Dairy Cow,397,223,620
UBS,1998,Abi,Mature Dairy Cow,418,235,653
UBS,1999,Abi,Mature Dairy Cow,440,247,687
UBS,2000,Abi,Mature Dairy Cow,463,260,723
UBS,2001,Abi,Mature Dairy Cow,475,266,741
UBS,2002,Abi,Mature Dairy Cow,487,273,760
UBS,2003,Abi,Mature Dairy Cow,500,280,780
UBS,2004,Abi,Mature Dairy Cow,512,287,799
UBS,2005,Abi,Mature Dairy Cow,526,295,821
UBS,2006,Abi,Mature Dairy Cow,539,302,841
UBS,2007,Abi,Mature Dairy Cow,553,310,863
UBS,2008,Abi,Mature Dairy Cow,567,318,885
UBS,2009,Abi,Mature Dairy Cow,584,328,912
UBS,2010,Abi,Mature Dairy Cow,601,337,938
UBS,2011,Abi,Mature Dairy Cow,619,347,966
UBS,2012,Abi,Mature Dairy Cow,638,358,996
UBS,2013,Abi,Mature Dairy Cow,647,363,1010
UBS,2014,Abi,Mature Dairy Cow,677,380,1057
UBS,2015,Abi,Mature Dairy Cow,697,391,1088
UBS,2016,Abi,Mature Dairy Cow,714,401,1115
UBS,2017,Abi,Mature Dairy Cow,705,396,1101
UBS,2018,Abi,Mature Dairy Cow,1704,956,2660
UBS,1990,Bulindi,Mature Dairy Cow,562,3143,3704
UBS,1991,Bulindi,Mature Dairy Cow,591,3308,3899
UBS,1992,Bulindi,Mature Dairy Cow,622,3482,4105
