Source,Year,ZARDIUganda,Livestock Subcategory,CowMulti,Oxen,Bull Exotic,Bull Indigenous,Heifer Dairy,Calve1,Calve2,Feedlot bull,Indigenous Heifer,Steer
UBS,1990,Buginyanya,NonDairyCow,93072,33821,4548,18906,67,53833,174,45,1203,3749
UBS,1991,Buginyanya,NonDairyCow,97971,35601,4787,19901,70,56667,183,48,1266,3947
UBS,1992,Buginyanya,NonDairyCow,103127,37475,5039,20948,74,59649,193,50,1333,4154
UBS,1993,Buginyanya,NonDairyCow,108555,39447,5305,22051,78,62788,203,53,1403,4373
UBS,1994,Buginyanya,NonDairyCow,114269,41524,5584,23211,82,66093,214,56,1477,4603
UBS,1995,Buginyanya,NonDairyCow,120283,43709,5878,24433,86,69572,225,59,1555,4845
UBS,1996,Buginyanya,NonDairyCow,126613,46010,6187,25719,91,73233,237,62,1637,5100
UBS,1997,Buginyanya,NonDairyCow,133277,48431,6513,27073,96,77088,249,65,1723,5369
UBS,1998,Buginyanya,NonDairyCow,140292,50980,6856,28497,101,81145,262,68,1814,5651
UBS,1999,Buginyanya,NonDairyCow,147676,53663,7216,29997,106,85416,276,72,1909,5949
UBS,2000,Buginyanya,NonDairyCow,155448,56488,7596,31576,111,89911,291,76,2010,6262
UBS,2001,Buginyanya,NonDairyCow,163630,59461,7996,33238,117,94644,306,80,2115,6592
UBS,2002,Buginyanya,NonDairyCow,172242,62590,8417,34987,123,99625,322,84,2227,6939
UBS,2003,Buginyanya,NonDairyCow,181307,65884,8860,36829,130,104868,339,88,2344,7304
UBS,2004,Buginyanya,NonDairyCow,190849,69352,9326,38767,137,110388,357,93,2467,7688
UBS,2005,Buginyanya,NonDairyCow,200894,73002,9817,40808,144,116197,376,98,2597,8093
UBS,2006,Buginyanya,NonDairyCow,211467,76844,10334,42955,152,122313,395,103,2734,8519
UBS,2007,Buginyanya,NonDairyCow,222597,80889,10878,45216,160,128751,416,108,2878,8967
UBS,2008,Buginyanya,NonDairyCow,234313,85146,11450,47596,168,135527,438,114,3029,9439
UBS,2009,Buginyanya,NonDairyCow,241342,87700,11794,49024,173,139593,451,117,3120,9722
UBS,2010,Buginyanya,NonDairyCow,248592,90335,12148,50497,178,143786,465,121,3214,10014
UBS,2011,Buginyanya,NonDairyCow,256047,93044,12512,52011,184,148099,479,125,3310,10314
UBS,2012,Buginyanya,NonDairyCow,263728,95835,12888,53572,189,152541,493,128,3409,10624
UBS,2013,Buginyanya,NonDairyCow,267405,97171,23483,54318,345,161166,899,234,3457,10772
UBS,2014,Buginyanya,NonDairyCow,279789,101671,13673,56834,201,161831,523,136,3617,11271
UBS,2015,Buginyanya,NonDairyCow,288169,104716,14082,58536,207,166678,539,140,3725,11608
UBS,2016,Buginyanya,NonDairyCow,295090,107231,14420,59942,212,170681,552,144,3815,11887
UBS,2017,Buginyanya,NonDairyCow,291414,105895,14241,59195,209,168555,545,142,3767,11739
UBS,2018,Buginyanya,NonDairyCow,291414,105895,14241,59195,18688,168555,1729,122,3767,14779
UBS,1990,Mukono,NonDairyCow,318710,55749,18427,55068,17203,125127,3704,184,120191,8119
UBS,1991,Mukono,NonDairyCow,335485,58684,19397,57967,18109,131713,3899,194,126517,8546
UBS,1992,Mukono,NonDairyCow,353142,61772,20417,61017,19062,138645,4105,204,133175,8996
UBS,1993,Mukono,NonDairyCow,371728,65023,21492,64229,20065,145942,4321,215,140185,9470
UBS,1994,Mukono,NonDairyCow,391293,68446,22623,67609,21121,153623,4548,226,147563,9968
UBS,1995,Mukono,NonDairyCow,411887,72048,23814,71168,22233,161708,4787,238,155329,10493
UBS,1996,Mukono,NonDairyCow,433565,75840,25067,74913,23403,170219,5039,250,163504,11045
UBS,1997,Mukono,NonDairyCow,456385,79832,26387,78856,24635,179178,5305,263,172110,11626
UBS,1998,Mukono,NonDairyCow,480405,84033,27775,83006,25931,188609,5584,277,181168,12238
UBS,1999,Mukono,NonDairyCow,505689,88456,29237,87375,27296,198535,5878,292,190703,12882
UBS,2000,Mukono,NonDairyCow,532305,93112,30776,91974,28733,208985,6187,307,200740,13560
UBS,2001,Mukono,NonDairyCow,560321,98012,32396,96815,30245,219984,6513,323,211306,14274
UBS,2002,Mukono,NonDairyCow,589811,103171,34101,101910,31837,231562,6855,340,222427,15025
UBS,2003,Mukono,NonDairyCow,620854,108601,35896,107274,33512,243750,7216,358,234134,15816
UBS,2004,Mukono,NonDairyCow,653530,114317,37785,112920,35276,256578,7596,377,246457,16649
UBS,2005,Mukono,NonDairyCow,687927,120333,39774,118863,37133,270083,7996,397,259428,17525
