Source,Year,ZARDIUganda,Bull,Calves_female,Calves_male,Cows,Hiefers,Oxen,Steers
UG_FAO (2005)MAAIF,1980,Uganda,711915.0235,733422.7341,314324.0289,1926613.948,371795.6018,649763.9053,63164.7581
UG_FAO (2005)MAAIF,1990,Uganda,733103.8589,755251.7067,323679.3029,1983956.053,382861.4109,669102.9274,65044.74042
UG_UBOS Abstract,1997,Uganda,814725.64,839339.3688,359716.8723,2204844.3,425488.1546,743599.0197,72286.64415
UG_UBOS Abstract,1998,Uganda,843226.1157,868700.8742,372300.3746,2281973.469,440372.4472,769611.3664,74815.35276
UG_UBOS Abstract,1999,Uganda,868443.8141,894680.4261,383434.4683,2350218.65,453542.3187,792627.5265,77052.79651
UG_UBOS Abstract,2000,Uganda,890229.518,917124.2993,393053.2711,2409176.025,464919.8408,812511.3098,78985.73608
UG_UBOS Abstract,2001,Uganda,910164.3719,945910.3948,405390.1692,2476433.86,479064.7023,844247.2972,82789.20463
UG_UBOS Abstract,2002,Uganda,937421.8987,974238.4405,417530.7602,2550597.895,493411.6921,869530.7449,85268.56883
UG_UBOS Abstract,2003,Uganda,971493.8071,1009648.498,432706.499,2643302.938,511345.4293,901135.0545,88367.77408
UG_UBOS Abstract,2004,Uganda,972827.0557,1011034.109,433300.3322,2646930.527,512047.1842,902371.7449,88489.04733
UG_UBOS Abstract,2005,Uganda,1002899.218,1042287.333,446694.5712,2728752.805,527875.6567,930265.9834,91224.43283
UG_UBOS Abstract,2006,Uganda,1032971.381,1073540.557,460088.8102,2810575.082,543704.1291,958160.2219,93959.81834
UG_UBOS Abstract,2007,Uganda,1063932.376,1105717.522,473878.938,2894815.752,560000.4381,986878.9206,96776.05267
UG_ULC,2008,Uganda,1690079.245,1756455.839,752766.7882,4598476.492,889572.6258,1567678.189,153730.8213
UG_UBOS Abstract,2009,Uganda,1740778.244,1809146.004,775348.2875,4736421.596,916258.0268,1614705.402,158342.4387
UG_UBOS Abstract,2010,Uganda,1793071.217,1863492.744,798639.7474,4878703.685,943782.4148,1663211.147,163099.0451
UG_UBOS Abstract,2011,Uganda,1846845.577,1919379.051,822591.022,5025016.428,972086.5305,1713090.992,167990.3994
UG_UBOS Abstract,2012,Uganda,1902249.463,1976958.883,847268.0929,5175762.89,1001248.347,1764482.348,173029.9767
UG_UBOS Abstract,2013,Uganda,1928766.296,2004517.145,859078.7765,5247911.598,1015205.473,1789078.745,175441.9668
UG_UBOS Abstract,2014,Uganda,2018093.952,2097353.078,898865.6047,5490960.038,1062223.053,1871937,183567.2745
UG_UBOS Abstract,2015,Uganda,2078534.554,2160167.44,925786.0456,5655410.724,1094035.944,1928000.297,189064.9951
UG_UBOS Abstract,2016,Uganda,2128457.307,2212050.871,948021.8019,5791243.766,1120312.767,1974307.481,193606.0046
UG_UBOS Abstract,2017,Uganda,2101940.474,2184492.609,936211.1183,5719095.058,1106355.641,1949711.084,191194.0144
UG_UBOS AAS,2018,Uganda,1658345,2014721.8,863452.2,4672673,1657863,1091538,153951
